Product_Name,Model_Name,Product_Serial_No,Group_Associated,product_MRP
Demo Product 2,Product Model 2,9.8766E+13,Group 10,10010
Demo Product 2,Product Model 2,9.8766E+13,Group 11,10011
Demo Product 2,Product Model 2,9.8766E+13,Group 12,10012
Demo Product 2,Product Model 2,9.8766E+13,Group 13,10013
Demo Product 2,Product Model 2,9.8766E+13,Group 14,10014
Demo Product 2,Product Model 2,9.8766E+13,Group 15,10015
Demo Product 2,Product Model 2,9.8766E+13,Group 16,10016
Demo Product 2,Product Model 2,9.8766E+13,Group 17,10017
Demo Product 2,Product Model 2,9.8766E+13,Group 18,10018
Demo Product 2,Product Model 2,9.8766E+13,Group 19,10019
Demo Product 2,Product Model 2,9.8766E+13,Group 20,10020
Demo Product 2,Product Model 2,9.8766E+13,Group 21,10021
Demo Product 2,Product Model 2,9.8766E+13,Group 22,10022
Demo Product 3,Product Model 3,9.8766E+13,Group 1,5001
Demo Product 3,Product Model 3,9.8766E+13,Group 2,5002
Demo Product 3,Product Model 3,9.8766E+13,Group 3,5003
Demo Product 3,Product Model 3,9.8766E+13,Group 4,5004
Demo Product 3,Product Model 3,9.8766E+13,Group 5,5005
Demo Product 3,Product Model 3,9.8766E+13,Group 6,5006
Demo Product 3,Product Model 3,9.8766E+13,Group 7,5007
Demo Product 3,Product Model 3,9.8766E+13,Group 8,5008
Demo Product 3,Product Model 3,9.8766E+13,Group 9,5009
Demo Product 3,Product Model 3,9.8766E+13,Group 10,5010
Demo Product 3,Product Model 3,9.8766E+13,Group 11,5011
Demo Product 3,Product Model 3,9.8766E+13,Group 12,5012
Demo Product 3,Product Model 3,9.8766E+13,Group 13,5013
Demo Product 3,Product Model 3,9.8766E+13,Group 14,5014
Demo Product 3,Product Model 3,9.8766E+13,Group 15,5015
Demo Product 3,Product Model 3,9.8766E+13,Group 16,5016
Demo Product 3,Product Model 3,9.8766E+13,Group 17,5017
Demo Product 3,Product Model 3,9.8766E+13,Group 18,5018
Demo Product 3,Product Model 3,9.8766E+13,Group 19,5019
Demo Product 3,Product Model 3,9.8766E+13,Group 20,5020
Demo Product 3,Product Model 3,9.8766E+13,Group 21,5021
Demo Product 3,Product Model 3,9.8766E+13,Group 22,5022
Demo Product 4,Product Model 4,9.8766E+13,Group 1,6001
Demo Product 4,Product Model 4,9.8766E+13,Group 2,6002
Demo Product 4,Product Model 4,9.8766E+13,Group 3,6003
Demo Product 4,Product Model 4,9.8766E+13,Group 4,6004
Demo Product 4,Product Model 4,9.8766E+13,Group 5,6005
Demo Product 4,Product Model 4,9.8766E+13,Group 6,6006
Demo Product 4,Product Model 4,9.8766E+13,Group 7,6007
Demo Product 4,Product Model 4,9.8766E+13,Group 8,6008
Demo Product 4,Product Model 4,9.8766E+13,Group 9,6009
Demo Product 4,Product Model 4,9.8766E+13,Group 10,6010
Demo Product 4,Product Model 4,9.8766E+13,Group 11,6011
Demo Product 4,Product Model 4,9.8766E+13,Group 12,6012
Demo Product 4,Product Model 4,9.8766E+13,Group 13,6013
Demo Product 4,Product Model 4,9.8766E+13,Group 14,6014
Demo Product 4,Product Model 4,9.8766E+13,Group 15,6015
Demo Product 4,Product Model 4,9.8766E+13,Group 16,6016
Demo Product 4,Product Model 4,9.8766E+13,Group 17,6017
Demo Product 4,Product Model 4,9.8766E+13,Group 18,6018
Demo Product 4,Product Model 4,9.8766E+13,Group 19,6019
Demo Product 4,Product Model 4,9.8766E+13,Group 20,6020
Demo Product 4,Product Model 4,9.8766E+13,Group 21,6021
Demo Product 4,Product Model 4,9.8766E+13,Group 22,6022
Demo Product 5,Product Model 5,9.8766E+13,Group 1,11001
Demo Product 5,Product Model 5,9.8766E+13,Group 2,11002
Demo Product 5,Product Model 5,9.8766E+13,Group 3,11003
Demo Product 5,Product Model 5,9.8766E+13,Group 4,11004
Demo Product 5,Product Model 5,9.8766E+13,Group 5,11005
Demo Product 5,Product Model 5,9.8766E+13,Group 6,11006
Demo Product 5,Product Model 5,9.8766E+13,Group 7,11007
Demo Product 5,Product Model 5,9.8766E+13,Group 8,11008
Demo Product 5,Product Model 5,9.8766E+13,Group 9,11009
Demo Product 5,Product Model 5,9.8766E+13,Group 10,11010
Demo Product 5,Product Model 5,9.8766E+13,Group 11,11011
Demo Product 5,Product Model 5,9.8766E+13,Group 12,11012
Demo Product 5,Product Model 5,9.8766E+13,Group 13,11013
Demo Product 5,Product Model 5,9.8766E+13,Group 14,11014
Demo Product 5,Product Model 5,9.8766E+13,Group 15,11015
Demo Product 5,Product Model 5,9.8766E+13,Group 16,11016
Demo Product 5,Product Model 5,9.8766E+13,Group 17,11017
Demo Product 5,Product Model 5,9.8766E+13,Group 18,11018
Demo Product 5,Product Model 5,9.8766E+13,Group 19,11019
Demo Product 5,Product Model 5,9.8766E+13,Group 20,11020
Demo Product 5,Product Model 5,9.8766E+13,Group 21,11021
Demo Product 5,Product Model 5,9.8766E+13,Group 22,11022
